Actual GRP,GRPRatingsDate,Predicted GRP,Std Err Pred GRP,Residual GRP,Upper CL (0.95) GRP,Lower CL (0.95) GRP
243.6,17/6/07,,,,,
263.19,24/6/07,242.5756529,18.12078856,20.61434715,278.0917458,207.0595599
269.89,1/7/07,256.6824547,18.12078856,13.20754532,292.1985476,221.1663617
252.88,8/7/07,263.1082957,18.12078856,-10.22829572,298.6243887,227.5922028
303.46,15/7/07,253.4388475,18.12078856,50.02115253,288.9549404,217.9227545
286.29,22/7/07,286.2588328,18.12078856,0.031167175,321.7749258,250.7427399
292.28,29/7/07,280.3268996,18.12078856,11.95310043,315.8429925,244.8108066
288.72,5/8/07,285.7235238,18.12078856,2.996476189,321.2396168,250.2074309
285.7,12/8/07,284.999234,18.12078856,0.700766046,320.5153269,249.483141
286.01,19/8/07,283.617603,18.12078856,2.392397028,319.1336959,248.10151
308.59,26/8/07,283.8554389,18.12078856,24.73456107,319.3715319,248.339346
320.57,2/9/07,298.8680163,18.12078856,21.70198374,334.3841092,263.3519233
312.67,9/9/07,309.5664549,18.12078856,3.103545136,345.0825478,274.0503619
278.58,16/9/07,307.5572827,18.12078856,-28.97728268,343.0733756,272.0411897
303.06,23/9/07,286.0969558,18.12078856,16.96304417,321.6130488,250.5808629
327.22,30/9/07,298.9086475,18.12078856,28.31135252,334.4247404,263.3925545
315.14,7/10/07,315.6810895,18.12078856,-0.541089514,351.1971825,280.1649966
254.39,14/10/07,311.0951272,18.12078856,-56.70512723,346.6112202,275.5790343
258.73,21/10/07,271.5971186,18.12078856,-12.86711859,307.1132115,236.0810257
272.35,28/10/07,267.6056496,18.12078856,4.744350441,303.1217425,232.0895566
234.26,4/11/07,272.7393346,18.12078856,-38.47933456,308.2554275,237.2232416
259.35,11/11/07,246.6623992,18.12078856,12.68760078,282.1784922,211.1463063
272.67,18/11/07,258.130998,18.12078856,14.53900201,293.6470909,222.6149051
269.03,25/11/07,266.6759273,18.12078856,2.354072728,302.1920202,231.1598343
291.72,2/12/07,265.6965522,18.12078856,26.0234478,301.2126451,230.1804593
275.29,9/12/07,281.2029854,18.12078856,-5.912985415,316.7190784,245.6868925
276.38,16/12/07,273.370761,18.12078856,3.009239038,308.8868539,237.854668
274.68,23/12/07,274.0666782,18.12078856,0.613321791,309.5827712,238.5505853
273.7,30/12/07,273.055821,18.12078856,0.644178975,308.571914,237.5397281
271.84,6/1/08,272.2753474,18.12078856,-0.435347437,307.7914404,236.7592545
267.63,13/1/08,270.8407342,18.12078856,-3.210734216,306.3568272,235.3246413
260.45,20/1/08,267.697692,18.12078856,-7.247691975,303.2137849,232.181599
301.67,27/1/08,262.2061899,18.12078856,39.4638101,297.7222828,226.690097
281.6,3/2/08,288.1641819,18.12078856,-6.56418191,323.6802749,252.648089
286.82,10/2/08,278.9901545,18.12078856,7.829845458,314.5062475,243.4740616
292.87,17/2/08,282.6681655,18.12078856,10.20183449,318.1842585,247.1520726
289.84,24/2/08,287.4472777,18.12078856,2.39272228,322.9633707,251.9311848
237.74,2/3/08,286.6675612,18.12078856,-48.92756122,322.1836542,251.1514683
268.69,9/3/08,252.5861001,18.12078856,16.10389986,288.1021931,217.0700072
261.46,16/3/08,267.0616485,18.12078856,-5.601648494,302.5777414,231.5455556
240.68,23/3/08,262.1435512,18.12078856,-21.46355115,297.6596441,226.6274582
231.89,30/3/08,247.4250971,18.12078856,-15.53509714,282.9411901,211.9090042
212.18,6/4/08,238.4794695,18.12078856,-26.29946949,273.9955624,202.9633766
218.16,13/4/08,222.3576322,18.12078856,-4.197632162,257.8737251,186.8415392
219.96,20/4/08,221.9660633,18.12078856,-2.006063324,257.4821563,186.4499704
210.24,27/4/08,221.0847738,18.12078856,-10.84477379,256.6008667,185.5686809
210.17,4/5/08,213.5331148,18.12078856,-3.363114771,249.0492077,178.0170218
228.25,11/5/08,211.596836,18.12078856,16.65316405,247.1129289,176.080743
227.32,18/5/08,222.3479447,18.12078856,4.972055283,257.8640377,186.8318518
218.16,25/5/08,223.1303842,18.12078856,-4.970384172,258.6464771,187.6142912
228.92,1/6/08,217.8500549,18.12078856,11.06994515,253.3661478,182.3339619
231.79,8/6/08,224.3745168,18.12078856,7.41548317,259.8906098,188.8584239
231.19,15/6/08,227.1884186,18.12078856,4.001581451,262.7045115,191.6723256
214.32,22/6/08,227.7243443,18.12078856,-13.40434429,263.2404372,192.2082514
233.76,29/6/08,217.0791081,18.12078856,16.68089186,252.5952011,181.5630152
231.12,6/7/08,228.2544582,18.12078856,2.865541833,263.7705511,192.7383652
224.72,13/7/08,227.7626394,18.12078856,-3.042639382,263.2787323,192.2465464
216.19,20/7/08,224.012523,18.12078856,-7.822523039,259.528616,188.4964301
216.75,27/7/08,217.9041781,18.12078856,-1.154178065,253.420271,182.3880851
211.68,3/8/08,216.9497615,18.12078856,-5.269761534,252.4658545,181.4336686
209.41,10/8/08,212.8083959,18.12078856,-3.398395936,248.3244889,177.292303
219.99,17/8/08,210.1892677,18.12078856,9.800732257,245.7053607,174.6731748
205.17,24/8/08,216.2050126,18.12078856,-11.03501262,251.7211056,180.6889197
195.25,31/8/08,207.0316018,18.12078856,-11.78160184,242.5476948,171.5155089
212.45,7/9/08,199.083996,18.12078856,13.36600403,234.6000889,163.567903
232.21,14/9/08,208.3914991,18.12078856,23.81850095,243.907592,172.8754061
236.31,21/9/08,222.2167991,18.12078856,14.09320091,257.732892,186.7007062
219.91,28/9/08,227.7934229,18.12078856,-7.883422855,263.3095158,192.2773299
193.84,5/10/08,219.265695,18.12078856,-25.42569498,254.7817879,183.749602
201.3,12/10/08,201.5187444,18.12078856,-0.218744442,237.0348374,166.0026515
198.4,19/10/08,203.0009389,18.12078856,-4.600938922,238.5170319,167.484846
170.74,26/10/08,199.7598423,18.12078856,-29.01984225,235.2759352,164.2437493
,2/11/08,180.2432028,18.12078856,,215.7592957,144.7271099
,9/11/08,182.426086,21.73427032,,225.0244731,139.827699
,16/11/08,182.3788253,23.98165579,,229.382007,135.3756437
,23/11/08,181.6521487,25.81992684,,232.2582754,131.046022
,30/11/08,180.7184872,27.47609622,,234.5706463,126.8663282
,7/12/08,179.7217676,29.02094545,,236.6017755,122.8417597
,14/12/08,178.7058372,30.4826975,,238.4508264,118.9608479
,21/12/08,177.6840542,31.87605959,,240.159983,115.2081254
,28/12/08,176.6604882,33.21059643,,241.7520612,111.5689153
,4/1/09,175.6363791,34.49341663,,243.2422334,108.0305248
,11/1/09,174.6121044,35.73017335,,244.6419574,104.5822515
,18/1/09,173.5877794,36.92551962,,245.9604679,101.2150908
,25/1/09,172.5634389,38.08336213,,247.2054571,97.92142075
,1/2/09,171.5390938,39.20702578,,248.3834523,94.69473537
,8/2/09,170.5147473,40.2993703,,249.5000617,91.52943291
,15/2/09,169.4904003,41.36287728,,250.5601501,88.42065058
,22/2/09,168.4660533,42.3997168,,251.5679711,85.36413536
,1/3/09,167.4417061,43.41179969,,252.52727,82.35614222
,8/3/09,166.417359,44.40081891,,253.4413649,79.39335303
,15/3/09,165.3930118,45.36828283,,254.3132122,76.47281144
,22/3/09,164.3686647,46.31554225,,255.1454594,73.59186994
,29/3/09,163.3443175,47.24381251,,255.9404885,70.7481465
,5/4/09,162.3199704,48.1541918,,256.700452,67.93948874
,12/4/09,161.2956232,49.04767635,,257.4273024,65.16394406
,19/4/09,160.2712761,49.92517323,,258.1228175,62.41973462
,26/4/09,159.2469289,50.78751115,,258.7886216,59.70523619
,3/5/09,158.2225818,51.63544961,,259.4262033,57.01896021